timeStamp,aircraftCode,testNumber,parameterCode,minValue,maxValue,currentValue,Result
2022-06-17T09:12:31.250-03,PRZFV,4,780935,20,50,33.27403038088753,SUCESSO!
2022-06-17T09:12:31.253-03,PRZFV,4,654321,10,120,91.82914777295083,SUCESSO!
2022-06-17T09:12:31.283-03,PRZFV,4,780935,20,50,32.8897359103203,SUCESSO!
2022-06-17T09:12:31.303-03,PRZFV,4,654321,10,120,115.84014472572898,SUCESSO!
2022-06-17T09:12:31.317-03,PRZFV,4,780935,20,50,32.521388677920065,SUCESSO!
2022-06-17T09:12:31.350-03,PRZFV,4,123456,20,40,28.253271185236592,SUCESSO!
2022-06-17T09:12:31.351-03,PRZFV,4,780935,20,50,25.271273925192247,SUCESSO!
2022-06-17T09:12:31.354-03,PRZFV,4,654321,10,120,13.751677124720947,SUCESSO!
2022-06-17T09:12:31.384-03,PRZFV,4,780935,20,50,21.611808757387454,SUCESSO!
2022-06-17T09:12:31.404-03,PRZFV,4,654321,10,120,79.66638339240072,SUCESSO!
2022-06-17T09:12:31.418-03,PRZFV,4,780935,20,50,28.633869649447192,SUCESSO!
2022-06-17T09:12:31.451-03,PRZFV,4,123456,20,40,23.679197379000588,SUCESSO!
2022-06-17T09:12:31.451-03,PRZFV,4,780935,20,50,21.126146749746965,SUCESSO!
2022-06-17T09:12:31.455-03,PRZFV,4,654321,10,120,44.199931755607004,SUCESSO!
2022-06-17T09:12:31.485-03,PRZFV,4,780935,20,50,24.798847761615818,SUCESSO!
2022-06-17T09:12:31.506-03,PRZFV,4,654321,10,120,47.93980638892248,SUCESSO!
2022-06-17T09:12:31.518-03,PRZFV,4,780935,20,50,44.172705917586505,SUCESSO!
2022-06-17T09:12:31.551-03,PRZFV,4,123456,20,40,26.055783502918256,SUCESSO!
2022-06-17T09:12:31.552-03,PRZFV,4,780935,20,50,41.6155940234881,SUCESSO!
2022-06-17T09:12:31.556-03,PRZFV,4,654321,10,120,58.73282487005196,SUCESSO!
2022-06-17T09:12:31.585-03,PRZFV,4,780935,20,50,24.832139691117536,SUCESSO!
2022-06-17T09:12:31.607-03,PRZFV,4,654321,10,120,32.89834326232664,SUCESSO!
2022-06-17T09:12:31.619-03,PRZFV,4,780935,20,50,42.961156484690264,SUCESSO!
2022-06-17T09:12:31.652-03,PRZFV,4,123456,20,40,30.98118855592387,SUCESSO!
2022-06-17T09:12:31.652-03,PRZFV,4,780935,20,50,26.89157146013801,SUCESSO!
2022-06-17T09:12:31.658-03,PRZFV,4,654321,10,120,49.08480609568951,SUCESSO!
2022-06-17T09:12:31.686-03,PRZFV,4,780935,20,50,37.91876882390551,SUCESSO!
2022-06-17T09:12:31.708-03,PRZFV,4,654321,10,120,42.14847242899712,SUCESSO!
2022-06-17T09:12:31.719-03,PRZFV,4,780935,20,50,23.914120730726793,SUCESSO!
2022-06-17T09:12:31.752-03,PRZFV,4,123456,20,40,38.2066250700806,SUCESSO!
2022-06-17T09:12:31.753-03,PRZFV,4,780935,20,50,33.562697324011694,SUCESSO!
2022-06-17T09:12:31.759-03,PRZFV,4,654321,10,120,100.80126220074511,SUCESSO!
2022-06-17T09:12:31.786-03,PRZFV,4,780935,20,50,44.65319413027433,SUCESSO!
2022-06-17T09:12:31.810-03,PRZFV,4,654321,10,120,120.5455624367757,ERRO
2022-06-17T09:12:31.820-03,PRZFV,4,780935,20,50,37.63976136750463,SUCESSO!
2022-06-17T09:12:31.853-03,PRZFV,4,123456,20,40,20.36341168647619,SUCESSO!
2022-06-17T09:12:31.853-03,PRZFV,4,780935,20,50,42.625055073845274,SUCESSO!
2022-06-17T09:12:31.861-03,PRZFV,4,654321,10,120,91.10109139420591,SUCESSO!
2022-06-17T09:12:31.887-03,PRZFV,4,780935,20,50,34.42610904027586,SUCESSO!
2022-06-17T09:12:31.911-03,PRZFV,4,654321,10,120,17.09574617932931,SUCESSO!
2022-06-17T09:12:31.920-03,PRZFV,4,780935,20,50,26.511919757598644,SUCESSO!
2022-06-17T09:12:31.953-03,PRZFV,4,123456,20,40,29.350985061693358,SUCESSO!
2022-06-17T09:12:31.953-03,PRZFV,4,780935,20,50,21.126670651266693,SUCESSO!
2022-06-17T09:12:31.963-03,PRZFV,4,654321,10,120,26.592595375144434,SUCESSO!
2022-06-17T09:12:31.987-03,PRZFV,4,780935,20,50,42.33684776145051,SUCESSO!
2022-06-17T09:12:32.014-03,PRZFV,4,654321,10,120,68.3569716010834,SUCESSO!
2022-06-17T09:12:32.021-03,PRZFV,4,780935,20,50,43.57915189272113,SUCESSO!
2022-06-17T09:12:32.054-03,PRZFV,4,123456,20,40,35.94218756160684,SUCESSO!
2022-06-17T09:12:32.054-03,PRZFV,4,780935,20,50,24.304034223681317,SUCESSO!
2022-06-17T09:12:32.065-03,PRZFV,4,654321,10,120,53.60679206698145,SUCESSO!
2022-06-17T09:12:32.088-03,PRZFV,4,780935,20,50,46.934094663961815,SUCESSO!
2022-06-17T09:12:32.116-03,PRZFV,4,654321,10,120,39.36478719678319,SUCESSO!
2022-06-17T09:12:32.121-03,PRZFV,4,780935,20,50,46.8987978837176,SUCESSO!
2022-06-17T09:12:32.154-03,PRZFV,4,123456,20,40,39.18334838473021,SUCESSO!
2022-06-17T09:12:32.155-03,PRZFV,4,780935,20,50,27.896838546182614,SUCESSO!
2022-06-17T09:12:32.166-03,PRZFV,4,654321,10,120,102.81663591810491,SUCESSO!
2022-06-17T09:12:32.188-03,PRZFV,4,780935,20,50,25.123035157022507,SUCESSO!
2022-06-17T09:12:32.217-03,PRZFV,4,654321,10,120,115.7151507112527,SUCESSO!
2022-06-17T09:12:32.222-03,PRZFV,4,780935,20,50,23.88014211433683,SUCESSO!
2022-06-17T09:12:32.255-03,PRZFV,4,123456,20,40,24.35786516482876,SUCESSO!
2022-06-17T09:12:32.255-03,PRZFV,4,780935,20,50,33.778589960755255,SUCESSO!
2022-06-17T09:12:32.267-03,PRZFV,4,654321,10,120,66.00407138973294,SUCESSO!
2022-06-17T09:12:32.288-03,PRZFV,4,780935,20,50,26.701566668425976,SUCESSO!
2022-06-17T09:12:32.318-03,PRZFV,4,654321,10,120,59.04117999943827,SUCESSO!
2022-06-17T09:12:32.322-03,PRZFV,4,780935,20,50,43.09462007016758,SUCESSO!
2022-06-17T09:12:32.355-03,PRZFV,4,123456,20,40,20.61442896089466,SUCESSO!
2022-06-17T09:12:32.355-03,PRZFV,4,780935,20,50,47.94580911829717,SUCESSO!
2022-06-17T09:12:32.369-03,PRZFV,4,654321,10,120,96.08128913633425,SUCESSO!
2022-06-17T09:12:32.389-03,PRZFV,4,780935,20,50,31.909516393323283,SUCESSO!
2022-06-17T09:12:32.419-03,PRZFV,4,654321,10,120,68.56416392695137,SUCESSO!
2022-06-17T09:12:32.423-03,PRZFV,4,780935,20,50,31.757245382632135,SUCESSO!
2022-06-17T09:12:32.456-03,PRZFV,4,123456,20,40,36.09042808851426,SUCESSO!
2022-06-17T09:12:32.456-03,PRZFV,4,780935,20,50,34.614289622450904,SUCESSO!
2022-06-17T09:12:32.470-03,PRZFV,4,654321,10,120,82.19376409479369,SUCESSO!
2022-06-17T09:12:32.490-03,PRZFV,4,780935,20,50,38.4446355128713,SUCESSO!
2022-06-17T09:12:32.520-03,PRZFV,4,654321,10,120,29.748422294884968,SUCESSO!
2022-06-17T09:12:32.523-03,PRZFV,4,780935,20,50,40.935870124192704,SUCESSO!
2022-06-17T09:12:32.556-03,PRZFV,4,123456,20,40,25.954345408814916,SUCESSO!
2022-06-17T09:12:32.557-03,PRZFV,4,780935,20,50,50.41084691389115,ERRO
2022-06-17T09:12:32.571-03,PRZFV,4,654321,10,120,91.24560301914035,SUCESSO!
2022-06-17T09:12:32.590-03,PRZFV,4,780935,20,50,47.79591587849997,SUCESSO!
2022-06-17T09:12:32.621-03,PRZFV,4,654321,10,120,31.16373401204151,SUCESSO!
2022-06-17T09:12:32.624-03,PRZFV,4,780935,20,50,29.41273083738153,SUCESSO!
2022-06-17T09:12:32.657-03,PRZFV,4,123456,20,40,37.084168544024145,SUCESSO!
2022-06-17T09:12:32.657-03,PRZFV,4,780935,20,50,50.22611487973935,ERRO
2022-06-17T09:12:32.671-03,PRZFV,4,654321,10,120,50.321468547844894,SUCESSO!
2022-06-17T09:12:32.691-03,PRZFV,4,780935,20,50,34.33669992120531,SUCESSO!
2022-06-17T09:12:32.722-03,PRZFV,4,654321,10,120,35.25341506464728,SUCESSO!
2022-06-17T09:12:32.724-03,PRZFV,4,780935,20,50,42.424447687942816,SUCESSO!
2022-06-17T09:12:32.757-03,PRZFV,4,123456,20,40,31.435029721018246,SUCESSO!
2022-06-17T09:12:32.758-03,PRZFV,4,780935,20,50,36.825780044892966,SUCESSO!
2022-06-17T09:12:32.772-03,PRZFV,4,654321,10,120,120.40196410339689,ERRO
2022-06-17T09:12:32.791-03,PRZFV,4,780935,20,50,41.51041950221436,SUCESSO!
2022-06-17T09:12:32.823-03,PRZFV,4,654321,10,120,64.1176341958675,SUCESSO!
2022-06-17T09:12:32.825-03,PRZFV,4,780935,20,50,37.52506692069823,SUCESSO!
2022-06-17T09:12:32.858-03,PRZFV,4,123456,20,40,38.163976926764136,SUCESSO!
2022-06-17T09:12:32.859-03,PRZFV,4,780935,20,50,22.910128699971576,SUCESSO!
2022-06-17T09:12:32.873-03,PRZFV,4,654321,10,120,15.012757220913596,SUCESSO!
2022-06-17T09:12:32.892-03,PRZFV,4,780935,20,50,47.940587395888215,SUCESSO!
2022-06-17T09:12:32.924-03,PRZFV,4,654321,10,120,26.573845032198676,SUCESSO!
2022-06-17T09:12:32.926-03,PRZFV,4,780935,20,50,33.39555004711449,SUCESSO!
2022-06-17T09:12:32.959-03,PRZFV,4,123456,20,40,33.77169238398488,SUCESSO!
2022-06-17T09:12:32.959-03,PRZFV,4,780935,20,50,45.22713455250221,SUCESSO!
2022-06-17T09:12:32.974-03,PRZFV,4,654321,10,120,97.1334830893292,SUCESSO!
2022-06-17T09:12:32.993-03,PRZFV,4,780935,20,50,31.405165631706957,SUCESSO!
2022-06-17T09:12:33.025-03,PRZFV,4,654321,10,120,20.424279864615706,SUCESSO!
2022-06-17T09:12:33.027-03,PRZFV,4,780935,20,50,41.58398532185863,SUCESSO!
2022-06-17T09:12:33.059-03,PRZFV,4,123456,20,40,38.96226228010539,SUCESSO!
2022-06-17T09:12:33.061-03,PRZFV,4,780935,20,50,48.31586845069456,SUCESSO!
2022-06-17T09:12:33.075-03,PRZFV,4,654321,10,120,65.55544889906272,SUCESSO!
2022-06-17T09:12:33.095-03,PRZFV,4,780935,20,50,43.82355672580589,SUCESSO!
2022-06-17T09:12:33.126-03,PRZFV,4,654321,10,120,38.79605270542855,SUCESSO!
2022-06-17T09:12:33.129-03,PRZFV,4,780935,20,50,50.26675921262887,ERRO
2022-06-17T09:12:33.160-03,PRZFV,4,123456,20,40,39.23342424564758,SUCESSO!
2022-06-17T09:12:33.162-03,PRZFV,4,780935,20,50,25.471615737176606,SUCESSO!
2022-06-17T09:12:33.177-03,PRZFV,4,654321,10,120,9.991988505062483,ERRO
2022-06-17T09:12:33.196-03,PRZFV,4,780935,20,50,28.094326267174907,SUCESSO!
2022-06-17T09:12:33.227-03,PRZFV,4,654321,10,120,33.17569767342765,SUCESSO!
2022-06-17T09:12:33.229-03,PRZFV,4,780935,20,50,27.623014357239384,SUCESSO!
2022-06-17T09:12:33.261-03,PRZFV,4,123456,20,40,36.04243155685691,SUCESSO!
2022-06-17T09:12:33.263-03,PRZFV,4,780935,20,50,28.3326966287794,SUCESSO!
2022-06-17T09:12:33.278-03,PRZFV,4,654321,10,120,90.55010341139906,SUCESSO!
2022-06-17T09:12:33.296-03,PRZFV,4,780935,20,50,39.733135831856785,SUCESSO!
2022-06-17T09:12:33.328-03,PRZFV,4,654321,10,120,76.1167287428595,SUCESSO!
2022-06-17T09:12:33.330-03,PRZFV,4,780935,20,50,39.71184427524689,SUCESSO!
2022-06-17T09:12:33.361-03,PRZFV,4,123456,20,40,29.729995124880595,SUCESSO!
2022-06-17T09:12:33.363-03,PRZFV,4,780935,20,50,47.32101089568874,SUCESSO!
2022-06-17T09:12:33.379-03,PRZFV,4,654321,10,120,99.69450934287362,SUCESSO!
2022-06-17T09:12:33.397-03,PRZFV,4,780935,20,50,43.31744547675322,SUCESSO!
2022-06-17T09:12:33.429-03,PRZFV,4,654321,10,120,18.287463441039947,SUCESSO!
2022-06-17T09:12:33.431-03,PRZFV,4,780935,20,50,47.54880010378113,SUCESSO!
2022-06-17T09:12:33.462-03,PRZFV,4,123456,20,40,35.19266784711962,SUCESSO!
2022-06-17T09:12:33.465-03,PRZFV,4,780935,20,50,32.41736934139101,SUCESSO!
2022-06-17T09:12:33.481-03,PRZFV,4,654321,10,120,45.71656320896686,SUCESSO!
2022-06-17T09:12:33.498-03,PRZFV,4,780935,20,50,39.357218608635414,SUCESSO!
2022-06-17T09:12:33.532-03,PRZFV,4,654321,10,120,14.554717160345254,SUCESSO!
2022-06-17T09:12:33.532-03,PRZFV,4,780935,20,50,43.03772875541625,SUCESSO!
2022-06-17T09:12:33.563-03,PRZFV,4,123456,20,40,28.820634855915635,SUCESSO!
2022-06-17T09:12:33.565-03,PRZFV,4,780935,20,50,43.96519344903492,SUCESSO!
2022-06-17T09:12:33.582-03,PRZFV,4,654321,10,120,45.54165079275595,SUCESSO!
2022-06-17T09:12:33.599-03,PRZFV,4,780935,20,50,44.75415351419474,SUCESSO!
2022-06-17T09:12:33.632-03,PRZFV,4,780935,20,50,31.202160086203314,SUCESSO!
2022-06-17T09:12:33.633-03,PRZFV,4,654321,10,120,13.876560515662757,SUCESSO!
2022-06-17T09:12:33.663-03,PRZFV,4,123456,20,40,20.35973473151437,SUCESSO!
2022-06-17T09:12:33.666-03,PRZFV,4,780935,20,50,35.037028650545004,SUCESSO!
2022-06-17T09:12:33.683-03,PRZFV,4,654321,10,120,104.31385886106519,SUCESSO!
2022-06-17T09:12:33.699-03,PRZFV,4,780935,20,50,27.55502856128438,SUCESSO!
2022-06-17T09:12:33.733-03,PRZFV,4,780935,20,50,36.8304338997645,SUCESSO!
2022-06-17T09:12:33.734-03,PRZFV,4,654321,10,120,90.140218068947,SUCESSO!
2022-06-17T09:12:33.764-03,PRZFV,4,123456,20,40,31.978175336235537,SUCESSO!
2022-06-17T09:12:33.766-03,PRZFV,4,780935,20,50,48.380890568912676,SUCESSO!
2022-06-17T09:12:33.784-03,PRZFV,4,654321,10,120,26.51996044019588,SUCESSO!
2022-06-17T09:12:33.800-03,PRZFV,4,780935,20,50,44.098285577531435,SUCESSO!
2022-06-17T09:12:33.833-03,PRZFV,4,780935,20,50,29.817483114981236,SUCESSO!
2022-06-17T09:12:33.835-03,PRZFV,4,654321,10,120,72.91686166139105,SUCESSO!
2022-06-17T09:12:33.864-03,PRZFV,4,123456,20,40,34.930906589906485,SUCESSO!
2022-06-17T09:12:33.867-03,PRZFV,4,780935,20,50,39.724716870109624,SUCESSO!
2022-06-17T09:12:33.885-03,PRZFV,4,654321,10,120,89.30364325178016,SUCESSO!
2022-06-17T09:12:33.900-03,PRZFV,4,780935,20,50,44.902553062680774,SUCESSO!
2022-06-17T09:12:33.934-03,PRZFV,4,780935,20,50,33.313259705080604,SUCESSO!
2022-06-17T09:12:33.936-03,PRZFV,4,654321,10,120,35.37786809114635,SUCESSO!
2022-06-17T09:12:33.965-03,PRZFV,4,123456,20,40,33.68712244644583,SUCESSO!
2022-06-17T09:12:33.969-03,PRZFV,4,780935,20,50,35.08146502810055,SUCESSO!
2022-06-17T09:12:33.986-03,PRZFV,4,654321,10,120,98.56225552596327,SUCESSO!
2022-06-17T09:12:34.002-03,PRZFV,4,780935,20,50,22.387235347882708,SUCESSO!
2022-06-17T09:12:34.036-03,PRZFV,4,780935,20,50,32.01029211369002,SUCESSO!
2022-06-17T09:12:34.037-03,PRZFV,4,654321,10,120,110.19248119044313,SUCESSO!
2022-06-17T09:12:34.065-03,PRZFV,4,123456,20,40,23.9839109398564,SUCESSO!
2022-06-17T09:12:34.069-03,PRZFV,4,780935,20,50,32.6155949241963,SUCESSO!
2022-06-17T09:12:34.087-03,PRZFV,4,654321,10,120,95.96315208473352,SUCESSO!
2022-06-17T09:12:34.103-03,PRZFV,4,780935,20,50,37.67447764659494,SUCESSO!
2022-06-17T09:12:34.136-03,PRZFV,4,780935,20,50,26.47993517844193,SUCESSO!
2022-06-17T09:12:34.138-03,PRZFV,4,654321,10,120,49.29742222206138,SUCESSO!
2022-06-17T09:12:34.166-03,PRZFV,4,123456,20,40,24.27787291287497,SUCESSO!
2022-06-17T09:12:34.169-03,PRZFV,4,780935,20,50,27.596002468700483,SUCESSO!
2022-06-17T09:12:34.191-03,PRZFV,4,654321,10,120,12.804729432332277,SUCESSO!
2022-06-17T09:12:34.203-03,PRZFV,4,780935,20,50,31.0825704091701,SUCESSO!
2022-06-17T09:12:34.236-03,PRZFV,4,780935,20,50,46.154442072444,SUCESSO!
2022-06-17T09:12:34.242-03,PRZFV,4,654321,10,120,11.638269993623929,SUCESSO!
2022-06-17T09:12:34.266-03,PRZFV,4,123456,20,40,34.787919805433,SUCESSO!
2022-06-17T09:12:34.270-03,PRZFV,4,780935,20,50,44.88746262086381,SUCESSO!
2022-06-17T09:12:34.292-03,PRZFV,4,654321,10,120,76.53269199812692,SUCESSO!
2022-06-17T09:12:34.303-03,PRZFV,4,780935,20,50,25.238721333292666,SUCESSO!
2022-06-17T09:12:34.337-03,PRZFV,4,780935,20,50,37.667863126714444,SUCESSO!
2022-06-17T09:12:34.343-03,PRZFV,4,654321,10,120,58.95121926681326,SUCESSO!
2022-06-17T09:12:34.367-03,PRZFV,4,123456,20,40,25.883929143755342,SUCESSO!
2022-06-17T09:12:34.370-03,PRZFV,4,780935,20,50,30.0708652592846,SUCESSO!
2022-06-17T09:12:34.394-03,PRZFV,4,654321,10,120,24.197819113316104,SUCESSO!
2022-06-17T09:12:34.403-03,PRZFV,4,780935,20,50,26.031147532440503,SUCESSO!
2022-06-17T09:12:34.437-03,PRZFV,4,780935,20,50,45.62423356492957,SUCESSO!
2022-06-17T09:12:34.445-03,PRZFV,4,654321,10,120,113.40355597342496,SUCESSO!
2022-06-17T09:12:34.467-03,PRZFV,4,123456,20,40,34.027926574762134,SUCESSO!
2022-06-17T09:12:34.470-03,PRZFV,4,780935,20,50,29.34432602205603,SUCESSO!
2022-06-17T09:12:34.496-03,PRZFV,4,654321,10,120,66.26482717861217,SUCESSO!
2022-06-17T09:12:34.504-03,PRZFV,4,780935,20,50,29.725156521375624,SUCESSO!
2022-06-17T09:12:34.537-03,PRZFV,4,780935,20,50,50.12685739498487,ERRO
2022-06-17T09:12:34.547-03,PRZFV,4,654321,10,120,83.99112322022309,SUCESSO!
2022-06-17T09:12:34.567-03,PRZFV,4,123456,20,40,20.409135321207735,SUCESSO!
2022-06-17T09:12:34.570-03,PRZFV,4,780935,20,50,36.68653078841815,SUCESSO!
2022-06-17T09:12:34.597-03,PRZFV,4,654321,10,120,81.79893483188323,SUCESSO!
2022-06-17T09:12:34.604-03,PRZFV,4,780935,20,50,48.911869702334286,SUCESSO!
2022-06-17T09:12:34.637-03,PRZFV,4,780935,20,50,23.43770546705153,SUCESSO!
2022-06-17T09:12:34.648-03,PRZFV,4,654321,10,120,68.60041180735101,SUCESSO!
2022-06-17T09:12:34.668-03,PRZFV,4,123456,20,40,34.96199909267842,SUCESSO!
2022-06-17T09:12:34.670-03,PRZFV,4,780935,20,50,35.44586658613737,SUCESSO!
2022-06-17T09:12:34.698-03,PRZFV,4,654321,10,120,102.6276315274041,SUCESSO!
2022-06-17T09:12:34.704-03,PRZFV,4,780935,20,50,37.37928305069631,SUCESSO!
2022-06-17T09:12:34.737-03,PRZFV,4,780935,20,50,30.96099097022988,SUCESSO!
2022-06-17T09:12:34.749-03,PRZFV,4,654321,10,120,21.459264717567244,SUCESSO!
2022-06-17T09:12:34.768-03,PRZFV,4,123456,20,40,22.283996512524936,SUCESSO!
2022-06-17T09:12:34.770-03,PRZFV,4,780935,20,50,33.80147977645371,SUCESSO!
2022-06-17T09:12:34.799-03,PRZFV,4,654321,10,120,68.49950959109839,SUCESSO!
2022-06-17T09:12:34.804-03,PRZFV,4,780935,20,50,24.765515786883523,SUCESSO!
2022-06-17T09:12:34.837-03,PRZFV,4,780935,20,50,34.73729702100157,SUCESSO!
2022-06-17T09:12:34.849-03,PRZFV,4,654321,10,120,47.400922629559616,SUCESSO!
2022-06-17T09:12:34.868-03,PRZFV,4,123456,20,40,24.82443116220772,SUCESSO!
2022-06-17T09:12:34.870-03,PRZFV,4,780935,20,50,32.27730032082249,SUCESSO!
2022-06-17T09:12:34.900-03,PRZFV,4,654321,10,120,77.30278690278718,SUCESSO!
2022-06-17T09:12:34.904-03,PRZFV,4,780935,20,50,38.708464953946525,SUCESSO!
2022-06-17T09:12:34.937-03,PRZFV,4,780935,20,50,34.53344872360176,SUCESSO!
2022-06-17T09:12:34.950-03,PRZFV,4,654321,10,120,78.35675782664025,SUCESSO!
2022-06-17T09:12:34.969-03,PRZFV,4,123456,20,40,24.922323741200632,SUCESSO!
2022-06-17T09:12:34.970-03,PRZFV,4,780935,20,50,39.52420342971294,SUCESSO!
2022-06-17T09:12:35.001-03,PRZFV,4,654321,10,120,106.01624224777531,SUCESSO!
2022-06-17T09:12:35.004-03,PRZFV,4,780935,20,50,32.22661556826102,SUCESSO!
2022-06-17T09:12:35.037-03,PRZFV,4,780935,20,50,34.37617059920265,SUCESSO!
2022-06-17T09:12:35.051-03,PRZFV,4,654321,10,120,12.229298942133832,SUCESSO!
2022-06-17T09:12:35.069-03,PRZFV,4,123456,20,40,22.823174861026335,SUCESSO!
2022-06-17T09:12:35.071-03,PRZFV,4,780935,20,50,20.51560070718621,SUCESSO!
2022-06-17T09:12:35.101-03,PRZFV,4,654321,10,120,89.41082596180156,SUCESSO!
2022-06-17T09:12:35.104-03,PRZFV,4,780935,20,50,29.883191578024054,SUCESSO!
2022-06-17T09:12:35.137-03,PRZFV,4,780935,20,50,28.87374927299159,SUCESSO!
2022-06-17T09:12:35.152-03,PRZFV,4,654321,10,120,38.912433976461216,SUCESSO!
2022-06-17T09:12:35.169-03,PRZFV,4,123456,20,40,33.43185351987863,SUCESSO!
2022-06-17T09:12:35.171-03,PRZFV,4,780935,20,50,36.87673107280813,SUCESSO!
